Time (ms),dTime (ms),Timestamp (ms),Timecode (ms),X resolution,Y resolution,frame type,frame-rate,aspect-ratio,codec
18:27:00.000,20.7,16512568175170239,16512568175170239,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.026,26.0,16512568175370262,16512568175370262,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.040,13.3,16512568175570242,16512568175570242,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.060,20.0,16512568175770245,16512568175770245,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.080,20.2,16512568175970225,16512568175970225,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.100,19.7,16512568176170240,16512568176170240,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.119,19.5,16512568176370234,16512568176370234,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.139,20.2,16512568176570220,16512568176570220,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.161,21.1,16512568176770232,16512568176770232,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.180,19.3,16512568176970242,16512568176970242,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.200,20.1,16512568177170214,16512568177170214,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.219,18.7,16512568177370214,16512568177370214,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.240,21.8,16512568177570174,16512568177570174,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.260,19.3,16512568177770202,16512568177770202,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.280,20.1,16512568177970210,16512568177970210,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.299,19.7,16512568178170173,16512568178170173,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.320,20.1,16512568178370172,16512568178370172,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.339,19.9,16512568178570155,16512568178570155,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.360,20.4,16512568178770155,16512568178770155,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.380,19.8,16512568178970185,16512568178970185,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.400,20.7,16512568179170139,16512568179170139,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.419,18.5,16512568179370179,16512568179370179,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.440,20.7,16512568179570144,16512568179570144,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.460,20.1,16512568179770153,16512568179770153,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.481,20.8,16512568179970131,16512568179970131,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.500,19.1,16512568180170134,16512568180170134,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.519,19.5,16512568180370119,16512568180370119,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.540,20.5,16512568180570113,16512568180570113,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.560,20.8,16512568180770099,16512568180770099,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.582,22.0,16512568180970131,16512568180970131,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.600,17.8,16512568181170109,16512568181170109,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.619,18.9,16512568181370104,16512568181370104,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.640,21.3,16512568181570080,16512568181570080,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.660,19.6,16512568181770093,16512568181770093,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.680,19.6,16512568181970119,16512568181970119,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.700,19.9,16512568182170077,16512568182170077,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.720,20.3,16512568182370066,16512568182370066,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.740,19.9,16512568182570052,16512568182570052,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.760,19.9,16512568182770047,16512568182770047,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.780,20.1,16512568182970067,16512568182970067,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.800,20.5,16512568183170028,16512568183170028,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.819,18.8,16512568183370074,16512568183370074,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.840,20.8,16512568183570062,16512568183570062,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.860,19.8,16512568183770043,16512568183770043,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.881,20.8,16512568183970025,16512568183970025,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.900,19.1,16512568184170026,16512568184170026,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.919,19.4,16512568184370035,16512568184370035,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.940,20.6,16512568184570005,16512568184570005,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.960,20.8,16512568184770010,16512568184770010,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:00.980,19.2,16512568184970022,16512568184970022,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.000,20.0,16512568185169990,16512568185169990,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.019,19.2,16512568185370009,16512568185370009,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.040,21.6,16512568185569977,16512568185569977,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.060,19.3,16512568185769988,16512568185769988,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.080,20.4,16512568185970026,16512568185970026,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
